83.9171,-6.99,150.5633
84.8959,-7.08,209.8723
53.1112,42.192,129.7562
54.3048,40.814,231.8362
-16.0187,-9.346,95.8389
-11.6317,64.358,114.6419
-9.167,100.244,180.4009
-10.9003,63.58,247.1179
-15.0203,-9.49,265.0799
-73.4527,-2.487,107.5657
-78.7878,55.94,126.9927
-81.115,82.615,180.3247
-78.5602,56.561,235.6667
-73.0683,-2.54,253.0557
-112.449,8.839,150.5866
-112.156,8.8,209.8426
83.9171,-6.99,-209.4367
84.8959,-7.08,-150.1277
53.1112,42.192,-230.2438
54.3048,40.814,-128.1638
-16.0187,-9.346,-264.1611
-11.6317,64.358,-245.3581
-9.167,100.244,-179.5991
-10.9003,63.58,-112.8821
-15.0203,-9.49,-94.9201
-73.4527,-2.487,-252.4343
-78.7878,55.94,-233.0073
-81.115,82.615,-179.6753
-78.5602,56.561,-124.3333
-73.0683,-2.54,-106.9443
-112.449,8.839,-209.4134
-112.156,8.8,-150.1574
